customer_code,company_name,tin,created_at,updated_at
C-05A01,5A2J INC.,009-775-264,,
C-5F001,5 FLAVORS FOOD CORP.,655-352-411,,
C-9.0001,9.0 NINER FOOD SERVICE,276-237-016,,
C-A1003,ALFAMART TRADING PHILIPPINES,008-685-624,,
C-A1009,ADAM'S FOOD HUB OPC,775-423-759,,
C-A1015,AKM BAKESHOP INC.,758-062-468,,
C-A1030,ABACUS BOOK AND CARD CORPORATION,000-299-299,,
C-A1044,ARTBI GLOBAL PHILIPPINE CORPORATION,608-406-681,,
C-B1001,BAKERSON MARKETING CORPORATION,205-921-946,,
C-B1004,BLONDELOCKS CORPORATION,010-256-845,,
C-B1005,BRYLLE19 RESTAURANT,236-390-159,,
C-B1045,BRICOLAGE PHILIPPINES INC.,010-057-617,,
C-B1016,BURLINGTON INDUSTRIES PHILIPPINES INC.,000-132-956,,
C-B1021,BAWL18 FOOD SERVICES,943-150-363,,
C-B1023,"BALAI NI FRUITAS, INC.",238-383-045,,
C-B1028,B U PARTNERS INC.,008-836-417,,
C-B1030,BR & RS FOOD & BEVERAGE STATION,213-383-420,,
C-B1031,BREESE INC.,007-266-912,,
C-B1032,BIG FAT PIG CORPORATION,010-241-919,,
C-B1033,JEWEL M. SIOMAI FOOD KIOSK,629-082-428,,
C-B1035,LEAGUE OF CHAMPIONS BEVERAGE HUB,237-648-540,,
C-B1037,BVCUISINE INC.,008-391-125,,
C-B1047,BEBANG PITX INC.,010-880-712-00001,,
C-C1016,"COUGAR ATHLETIC TRENDS, INC.",243-538-177,,
C-C1026,"CENTRAL AFFIRMATIVE COMPANY, INCORPORATED",208-138-941,,
C-C1031,"CONTEMPORAIN FOODS, INC.",008-043-737,,
C-C1035,CARAVAN FOOD GROUP INC.,009-591-491,,
C-C1036,CHICHABOG TRADING,137-772-231,,
C-C1038,COCOLABS DESSERT SPA,441-433-771,,
C-C1042,CERINA'S STORE,157-088-109,,
C-D1026,DANDY'S APPAREL TRADING,266-683-259,,
C-D1016,DCBM FOOD AND BEVERAGE KIOSK,242-082-004,,
C-D1023,DAILYBEST TECHNICAL MERCHANDISER CORPORATION,010-717-500,,
C-E1001,EJO MULTIFOODS INC.,004-148-290,,
C-E1002,EJO MULTIFOODS INC.,004-148-290,,
C-E1003,ERACARE PHILIPPINES - GINTELGROUP OF COMPANIES,008-131-501,,
C-E1013,EGGS PERT FOOD AND BEVERAGE KIOSK,221-010-698,,
C-E1015,EASY BUY INC.,638-878-400,,
C-E1016,EPICUREAN PARTNERS EXCHANGE INC.,007-189-834,,
C-F1001,FASHION RACK DESIGNER OUTLET INC.,007-971-785,,
C-F1005,FUEGOROJO DEVELOPMENT CORP.,010-609-354,,
C-F1006,FASHION RACK DESIGNER OUTLET INC.,007-971-785,,
C-F1007,FASHION RACK DESIGNER OUTLET INC.,007-971-785,,
C-F1008,FRUITASGROUP INC.,007-812-677,,
C-G1001,GOLDEN ARCHES DEVELOPMENT CORPORATION,000-121-242,,
C-G1001,GOLDEN ARCHES DEVELOPMENT CORPORATION,000-121-242,,
C-G1011,GNUOY FOOD SERVICE,411-157-705,,
C-G1012,"GOLDEN ENTRÃ‰E FOOD SERVICES, INC.",010-268-416,,
C-G1015,3EBROTHERS SNAXBITES REFRESHMENTS STALL,244-654-180-000000,,
C-G1021,GOLDEN TWINS FOOD CORPORATION,010-743-193,,
C-G1023,JK BAKERY,489-600-916-00000,,
C-G1024,CIRE FOOD SERVICE,411-157-705,,
C-G1027,GO MINDANAO CORPORATION,009-429-454,,
C-H1013,CERES RESTAURANTS INC.,633-212-447,,
C-H1015,HANGANG GROUP CORPORATION,650-320-942,,
C-I1010,"ITALIAN SUPREME PIZZAS, INC.",477-546-556,,
C-I1011,"ITALIAN SUPREME PIZZAS, INC.",477-546-556,,
C-J1015,JGO MINIMART,372-623-022,,
C-J1017,J2M FOOD AND BEVERAGES OPC,656-124-992,,
C-K1001,"K2 DRUG GROUP, INC.",245-557-546,,
C-K1004,KYUKYU CONCEPT INC.,010-236-050,,
C-K1007,"KNOXPORT, INC.",008-188-059,,
C-K1008,KETTLE FOODS CORPORATION,241-462-668,,
C-L1006,LAUNDRAFEBOX CORPORATION (Qube Smart Locker),010-506-085-00000,,
C-L1013,LOOB PHILIPPINES INC.,605-579-720,,
C-L1016,GR'LL N THR'LL BURGER STATION,351-448-544-000,,
C-L1017,CHERISH CRAFT INC.,717-185-960,,
C-L1020,LINEAGE CORP TRADING INC.,608-645-853,,
C-L1021,LINEAGE CORP TRADING INC.,608-645-853,,
C-M1030,MINI DEPATO CORP.,009-767-383,,
C-M1009,MONTMARTE INC.,010-391-284,,
C-M1012,MIDEAST FOOD SPECIALTIES INC.,009-303-634,,
C-M1020,"MUNCH CULTURE CO.,",614-398-516,,
C-M1024,MONDO ORO NEW BUSINESS VENTURES INC.,615-469-823,,
C-M1029,MARY GRACE FOODS INC.,216-682-854,,
C-N1001,NAMIENDA FOOD STALL,189-696-057,,
C-N1003,NUTRIDOUGH INC.,008-600-981,,
C-N1010,NUTRIDOUGH INC.,008-600-981,,
C-O1003,OSM FASTFOODS CORP,009-026-037,,
C-O1004,OTIKOM FOOD SERVICE,411-157-705,,
C-O1009,OMNI CONNECT MANAGEMENT CORP.,604-708-304,,
C-O1011,VAPE UNLIMITED INC.,009-779-355,,
C-P1009,PROFESSIONAL PARKING MANAGEMENT CORPORATION,006-717-880,,
C-P1016,PANDA DEVELOPMENT CORPORATION,000-168-011,,
C-P1018,PLK PHILIPPINES INC.,010-026-709,,
C-P1022,PROFESSIONAL PARKING MANAGEMENT CORPORATION,006-717-880,,
C-P1028,"PRETIOLAS PHILIPPINES, INC.",004-737-005,,
C-P1029,BC FOOD EXPRESS CO.,006-017-884,,
C-P1031,"PERF RESTAURANTS, INC.",005-009-744,,
C-P1040,PHILIPPINE GLOBAL COMMUNICATION INC,000-665-693,,
C-R1016,RBX FOOD CORPORATION,221-197-032,,
C-R1022,ROBINSON'S SUPERMARKET CORPORATION,000-405-340,,
C-S1005,SUYEN CORPORATION,000-844-246,,
C-S1007,ST. FOOD STORE,315-935-323-00000,,
C-S1011,SAVIGNION INC.,010-391-306,,
C-S1012,SOUTHPORT MEDICAL HUB INC,010-550-216,,
C-S1019,"SUPREME VIETNAMESE COFFEE, INC.",008-673-315-000,,
C-S1022,SCOTTLAND FOOD GROUP CORPORATION,009-669-413,,
C-S1031,GREGGY ROSALYN CARANDANG'S FOOD HUB,302-927-917,,
C-S1032,SUN-MARS FOOD CORPORATION,483-977-526,,
C-S1034,STARBREAKER CORP.,605-393-015,,
C-S1039,STARBREAKER CORP.,605-393-015,,
C-S1044,SNACK HACK INC.,760-948-631,,
C-S1046,SAINT MICHAEL FOOD OPC,605-042-550,,
C-T1002,TEABROS CORPORATION,007-957-119,,
C-T1004,"TROPICAL DRAGON CONCEPTS, INC.",009-094-614,,
C-T1007,"TROPICAL DRAGON CONCEPTS, INC.",009-094-614,,
C-T1009,T3 BURGER CORPORATION,008-965-366,,
C-T1019,"TIM HORTONS PHILIPPINES, INC.",009-332-541,,
C-T1031,"TROPICAL DRAGON CONCEPTS, INC.",009-094-614,,
C-T1041,TOBISTRO FOODS INC.,008-532-597,,
C-T1043,"TROPICAL DRAGON CONCEPTS, INC.",009-094-614,,
C-T1046,THERALEAF CORPORATION,010-518-101,,
C-T1048,TEABROS CORPORATION,007-957-119,,
C-U1005,HAPPY BELLY'S KITCHEN FOOD INC.,639-163-750-00000,,
C-W1004,WATSONS PERSONALCARE STORES (PHILIPPINES) INC.,214-706-591,,
C-W1007,WENPHIL CORPORATION,001-096-949,,
C-Z1007,Z INTERNATIONAL PARCEL SERVICES INCORPORATED,010-101-382,,
C-Z1011,ZION FOODS INDUSTRIES INCORPORATED,622-054-898,,
C-Z1013,ZUSPRESSO PHILIPPINES INC.,635-381-780,,
C-T1051,TASTE OF ROYALTY 828 CORP.,009-261-768-000,,
C-R1029,ROBINSON'S SUPERMARKET CORPORATION,000-405-340,,
C-P1046,"PPI HOLDINGS, INC.",200-741-954-000,,
C-S1051,SARIWAVISION EATS FOOD CHAIN CORP.,672-509-435-00000,,
C-C1045,CHEF MIA FOOD STATION,142-516-855-003,,
C-B1051,BETTER MADE SNACK FOODS CORPORATION,746-326-829-000,,
